Class	Category	Original_ID	ENCODE_Target	Cell_Line	Experiment	Assay	Selected_File	Assembly	Output_Type	Biological_Replicates	Date_For_Choice	Date_Released	Date_Created	Download_URL	Experiment_Link	File_Link
negative_only	TF	FOXK1	FOXK1	K562	ENCSR659CCI	TF ChIP-seq	ENCFF516ZWP	GRCh38	IDR thresholded peaks	1,2	2022-01-13	2022-01-13	2022-01-01T19:12:32.230567+00:00	https://www.encodeproject.org/files/ENCFF516ZWP/@@download/ENCFF516ZWP.bed.gz	https://www.encodeproject.org/experiments/ENCSR659CCI/	https://www.encodeproject.org/files/ENCFF516ZWP/
negative_only	TF	FOXK2	FOXK2	K562	ENCSR302AWT	TF ChIP-seq	ENCFF066CWG	GRCh38	optimal IDR thresholded peaks	1,2	2016-06-14	2016-06-14	2016-10-28T18:52:28.783057+00:00	https://www.encodeproject.org/files/ENCFF066CWG/@@download/ENCFF066CWG.bed.gz	https://www.encodeproject.org/experiments/ENCSR302AWT/	https://www.encodeproject.org/files/ENCFF066CWG/
negative_only	TF	FOXP1	FOXP1	K562	ENCSR530WIV	TF ChIP-seq	ENCFF491EEI	GRCh38	IDR thresholded peaks	1,2	2022-01-13	2022-01-13	2022-01-07T19:41:47.601757+00:00	https://www.encodeproject.org/files/ENCFF491EEI/@@download/ENCFF491EEI.bed.gz	https://www.encodeproject.org/experiments/ENCSR530WIV/	https://www.encodeproject.org/files/ENCFF491EEI/
negative_only	TF	HOMEZ	HOMEZ	K562	ENCSR801JWB	TF ChIP-seq	ENCFF601LMD	GRCh38	IDR thresholded peaks	1,2	2020-08-03	2020-08-03	2020-07-03T11:47:07.686321+00:00	https://www.encodeproject.org/files/ENCFF601LMD/@@download/ENCFF601LMD.bed.gz	https://www.encodeproject.org/experiments/ENCSR801JWB/	https://www.encodeproject.org/files/ENCFF601LMD/
negative_only	TF	MAZ	MAZ	K562	ENCSR643JRH	TF ChIP-seq	ENCFF962GWS	GRCh38	IDR thresholded peaks	1,2	2020-08-03	2020-08-03	2020-07-01T01:55:03.856572+00:00	https://www.encodeproject.org/files/ENCFF962GWS/@@download/ENCFF962GWS.bed.gz	https://www.encodeproject.org/experiments/ENCSR643JRH/	https://www.encodeproject.org/files/ENCFF962GWS/
negative_only	TF	MEF2D	MEF2D	K562	ENCSR647ZXA	TF ChIP-seq	ENCFF436DME	GRCh38	optimal IDR thresholded peaks	1,2	2016-08-24	2016-08-24	2016-10-31T15:57:28.242957+00:00	https://www.encodeproject.org/files/ENCFF436DME/@@download/ENCFF436DME.bed.gz	https://www.encodeproject.org/experiments/ENCSR647ZXA/	https://www.encodeproject.org/files/ENCFF436DME/
negative_only	TF	MEIS2	MEIS2	K562	ENCSR851BNE	TF ChIP-seq	ENCFF937UEE	GRCh38	optimal IDR thresholded peaks	1,2	2014-07-07	2014-07-07	2016-10-31T16:02:24.563275+00:00	https://www.encodeproject.org/files/ENCFF937UEE/@@download/ENCFF937UEE.bed.gz	https://www.encodeproject.org/experiments/ENCSR851BNE/	https://www.encodeproject.org/files/ENCFF937UEE/
negative_only	TF	MGA	MGA	K562	ENCSR710WLO	TF ChIP-seq	ENCFF525MPI	GRCh38	optimal IDR thresholded peaks	1,2	2016-12-19	2016-12-19	2016-12-10T05:45:34.454849+00:00	https://www.encodeproject.org/files/ENCFF525MPI/@@download/ENCFF525MPI.bed.gz	https://www.encodeproject.org/experiments/ENCSR710WLO/	https://www.encodeproject.org/files/ENCFF525MPI/
negative_only	TF	MTF1	MTF1	K562	ENCSR849LXI	TF ChIP-seq	ENCFF478MAJ	GRCh38	IDR thresholded peaks	1,2	2021-11-08	2021-11-08	2021-10-27T03:40:30.067920+00:00	https://www.encodeproject.org/files/ENCFF478MAJ/@@download/ENCFF478MAJ.bed.gz	https://www.encodeproject.org/experiments/ENCSR849LXI/	https://www.encodeproject.org/files/ENCFF478MAJ/
negative_only	TF	MYNN	MYNN	K562	ENCSR307YJU	TF ChIP-seq	ENCFF603EAX	GRCh38	IDR thresholded peaks	1,2	2021-12-08	2021-12-08	2021-11-25T01:24:30.450497+00:00	https://www.encodeproject.org/files/ENCFF603EAX/@@download/ENCFF603EAX.bed.gz	https://www.encodeproject.org/experiments/ENCSR307YJU/	https://www.encodeproject.org/files/ENCFF603EAX/
negative_only	TF	NFIC	NFIC	K562	ENCSR796ITY	TF ChIP-seq	ENCFF092TVM	GRCh38	optimal IDR thresholded peaks	1,2	2017-05-17	2017-05-17	2016-11-18T17:24:59.083578+00:00	https://www.encodeproject.org/files/ENCFF092TVM/@@download/ENCFF092TVM.bed.gz	https://www.encodeproject.org/experiments/ENCSR796ITY/	https://www.encodeproject.org/files/ENCFF092TVM/
negative_only	TF	NR2F2	NR2F2	K562	ENCSR000BRS	TF ChIP-seq	ENCFF118HUH	GRCh38	optimal IDR thresholded peaks	1,2	2012-02-29	2012-02-29	2016-12-16T08:43:24.148729+00:00	https://www.encodeproject.org/files/ENCFF118HUH/@@download/ENCFF118HUH.bed.gz	https://www.encodeproject.org/experiments/ENCSR000BRS/	https://www.encodeproject.org/files/ENCFF118HUH/
negative_only	TF	PATZ1	PATZ1	K562	ENCSR549PVK	TF ChIP-seq	ENCFF743JJF	GRCh38	IDR thresholded peaks	1,2	2020-10-07	2020-10-07	2020-07-09T07:13:25.060339+00:00	https://www.encodeproject.org/files/ENCFF743JJF/@@download/ENCFF743JJF.bed.gz	https://www.encodeproject.org/experiments/ENCSR549PVK/	https://www.encodeproject.org/files/ENCFF743JJF/
negative_only	TF	PBX2	PBX2	K562	ENCSR263DFP	TF ChIP-seq	ENCFF685CMQ	GRCh38	optimal IDR thresholded peaks	1,2	2016-08-24	2016-08-24	2016-10-31T15:57:29.454492+00:00	https://www.encodeproject.org/files/ENCFF685CMQ/@@download/ENCFF685CMQ.bed.gz	https://www.encodeproject.org/experiments/ENCSR263DFP/	https://www.encodeproject.org/files/ENCFF685CMQ/
negative_only	TF	PPARD	PPARD	K562	ENCSR576AMK	TF ChIP-seq	ENCFF893YKY	GRCh38	IDR thresholded peaks	1,2	2022-01-05	2022-01-05	2021-12-22T02:13:28.776244+00:00	https://www.encodeproject.org/files/ENCFF893YKY/@@download/ENCFF893YKY.bed.gz	https://www.encodeproject.org/experiments/ENCSR576AMK/	https://www.encodeproject.org/files/ENCFF893YKY/
negative_only	TF	TBX18	TBX18	K562	ENCSR385IUC	TF ChIP-seq	ENCFF405EGZ	GRCh38	IDR thresholded peaks	1,2	2020-08-03	2020-08-03	2020-07-03T13:20:45.142942+00:00	https://www.encodeproject.org/files/ENCFF405EGZ/@@download/ENCFF405EGZ.bed.gz	https://www.encodeproject.org/experiments/ENCSR385IUC/	https://www.encodeproject.org/files/ENCFF405EGZ/
negative_only	TF	TFAP4	TFAP4	K562	ENCSR784IMK	TF ChIP-seq	ENCFF438IYI	GRCh38	IDR thresholded peaks	1,2	2022-08-23	2022-08-23	2022-08-19T05:06:27.435051+00:00	https://www.encodeproject.org/files/ENCFF438IYI/@@download/ENCFF438IYI.bed.gz	https://www.encodeproject.org/experiments/ENCSR784IMK/	https://www.encodeproject.org/files/ENCFF438IYI/
negative_only	TF	TGIF2	TGIF2	K562	ENCSR028WJI	TF ChIP-seq	ENCFF238XIA	GRCh38	IDR thresholded peaks	1,2	2022-10-03	2022-10-03	2022-09-28T18:13:26.481377+00:00	https://www.encodeproject.org/files/ENCFF238XIA/@@download/ENCFF238XIA.bed.gz	https://www.encodeproject.org/experiments/ENCSR028WJI/	https://www.encodeproject.org/files/ENCFF238XIA/
negative_only	TF	ZBTB12	ZBTB12	K562	ENCSR172OSX	TF ChIP-seq	ENCFF830MTX	GRCh38	IDR thresholded peaks	1,2	2020-08-03	2020-08-03	2020-07-03T21:38:09.374642+00:00	https://www.encodeproject.org/files/ENCFF830MTX/@@download/ENCFF830MTX.bed.gz	https://www.encodeproject.org/experiments/ENCSR172OSX/	https://www.encodeproject.org/files/ENCFF830MTX/
negative_only	TF	ZNF212	ZNF212	K562	ENCSR002ZGC	TF ChIP-seq	ENCFF435MHH	GRCh38	IDR thresholded peaks	1,2	2020-08-03	2020-08-03	2020-07-07T07:53:21.239603+00:00	https://www.encodeproject.org/files/ENCFF435MHH/@@download/ENCFF435MHH.bed.gz	https://www.encodeproject.org/experiments/ENCSR002ZGC/	https://www.encodeproject.org/files/ENCFF435MHH/
negative_only	TF	ZNF263	ZNF263	K562	ENCSR845GGY	TF ChIP-seq	ENCFF295XBK	GRCh38	IDR thresholded peaks	1,2	2022-08-15	2022-08-15	2022-07-23T00:44:05.551927+00:00	https://www.encodeproject.org/files/ENCFF295XBK/@@download/ENCFF295XBK.bed.gz	https://www.encodeproject.org/experiments/ENCSR845GGY/	https://www.encodeproject.org/files/ENCFF295XBK/
