Class	Category	Assay	Cell_line	Original_ID	Target	Experiment	Peak_accession	Peak_file	start_in_gene_filter	IR_total_annotated	NonIR_total_annotated	IR_event_region_overlap	NonIR_event_region_overlap	IR_event_region_occupancy_%	NonIR_event_region_occupancy_%	event_region_peak_event_count_IR	event_region_peak_event_count_NonIR	event_region_odds_ratio	event_region_fisher_p_value	IR_intron_only_overlap	NonIR_intron_only_overlap	IR_intron_only_occupancy_%	NonIR_intron_only_occupancy_%	intron_only_peak_event_count_IR	intron_only_peak_event_count_NonIR	intron_only_odds_ratio	intron_only_fisher_p_value
positive_only	TF	TF ChIP-seq	HepG2	SP4	SP4	ENCSR642PQK	ENCFF938KVY	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/SP4/SP4_HepG2_ENCSR642PQK_ENCFF938KVY_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	59	533	11.752988047808765	6.192633902637388	81	928	2.0174827099894546	6.291947332327387e-06	20	138	3.9840637450199203	1.603346113628442	29	167	2.546454988273498	0.0005299294981085229
positive_only	TF	TF ChIP-seq	HepG2	ZNF180	ZNF180	ENCSR298DSB	ENCFF405YXO	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/ZNF180/ZNF180_HepG2_ENCSR298DSB_ENCFF405YXO_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	10	75	1.9920318725099602	0.871383757406762	12	86	2.3121951219512193	0.02590059631704925	4	14	0.796812749003984	0.16265830138259557	5	15	4.930005737234653	0.015035648086354964
positive_only	TF	TF ChIP-seq	HepG2	ZNF30	ZNF30	ENCSR891KNP	ENCFF290UUF	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/ZNF30/ZNF30_HepG2_ENCSR891KNP_ENCFF290UUF_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	16	141	3.187250996015936	1.6382014639247124	22	209	1.9767095700901847	0.01941510638384069	9	23	1.7928286852589643	0.267224352271407	12	27	6.813299232736573	3.914044969886972e-05
positive_only	TF	TF ChIP-seq	HepG2	ZNF441	ZNF441	ENCSR673GDQ	ENCFF924VAH	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/ZNF441/ZNF441_HepG2_ENCSR673GDQ_ENCFF924VAH_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	36	476	7.171314741035857	5.530382247008249	59	725	1.3196342914848342	0.13372574119107766	14	82	2.788844621513944	0.9527129080980598	20	92	2.9825569772091165	0.000732945096155476
positive_only	TF	TF ChIP-seq	HepG2	ZNF564	ZNF564	ENCSR397EOT	ENCFF310IWF	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/ZNF564/ZNF564_HepG2_ENCSR397EOT_ENCFF310IWF_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	33	389	6.573705179282868	4.519577088416405	49	641	1.4864750796147796	0.03777229622539463	16	77	3.187250996015936	0.8946206576042756	21	97	3.647052535941425	4.1950263952877896e-05
positive_only	TF	TF ChIP-seq	HepG2	ZNF704	ZNF704	ENCSR523RGJ	ENCFF155NXO	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/ZNF704/ZNF704_HepG2_ENCSR523RGJ_ENCFF155NXO_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	29	278	5.776892430278884	3.229929127454398	43	393	1.8368975010266628	0.004633883954669311	15	61	2.9880478087649402	0.7087254560241664	21	77	4.3151445787188205	1.3370476482314607e-05
positive_only	TF	TF ChIP-seq	K562	E2F8	E2F8	ENCSR953DVM	ENCFF171WWF	/rhome/yzhan677/bigdata/ChIP-seq_K562/E2F8/E2F8_K562_ENCSR953DVM_ENCFF171WWF_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	170	231	6.427221172022684	4.026494683632561	214	343	1.6371857099129827	3.382856084687062e-06	51	36	1.9281663516068055	0.6275056649816977	63	38	3.113499100488306	1.7662445415930814e-07
positive_only	TF	TF ChIP-seq	K562	KLF13	KLF13	ENCSR608HVP	ENCFF381GEK	/rhome/yzhan677/bigdata/ChIP-seq_K562/KLF13/KLF13_K562_ENCSR608HVP_ENCFF381GEK_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	131	230	4.952741020793951	4.009063970716403	170	318	1.247651412957006	0.04919601220528526	51	31	1.9281663516068055	0.5403521004009063	61	31	3.6188474643718753	1.2006366792863807e-08
positive_only	TF	TF ChIP-seq	K562	KLF16	KLF16	ENCSR760UVO	ENCFF379LKE	/rhome/yzhan677/bigdata/ChIP-seq_K562/KLF16/KLF16_K562_ENCSR760UVO_ENCFF379LKE_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	189	493	7.145557655954632	8.593341467666027	236	691	0.8185575252228264	0.025347966270633043	60	74	2.2684310018903595	1.289872755795712	68	76	1.7762559464687124	0.0013533847393172793
positive_only	TF	TF ChIP-seq	K562	REST	REST	ENCSR054JMQ	ENCFF118ECK	/rhome/yzhan677/bigdata/ChIP-seq_K562/REST/REST_K562_ENCSR054JMQ_ENCFF118ECK_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	111	156	4.196597353497165	2.71919121492069	140	217	1.567125554004007	0.0004816208352407319	56	23	2.117202268431002	0.4009063970716402	66	25	5.373637630779048	7.450886972059926e-13
