Class	Category	Assay	Cell_line	Original_ID	Target	Experiment	Peak_accession	Peak_file	start_in_gene_filter	IR_total_annotated	NonIR_total_annotated	IR_event_region_overlap	NonIR_event_region_overlap	IR_event_region_occupancy_%	NonIR_event_region_occupancy_%	event_region_peak_event_count_IR	event_region_peak_event_count_NonIR	event_region_odds_ratio	event_region_fisher_p_value	IR_intron_only_overlap	NonIR_intron_only_overlap	IR_intron_only_occupancy_%	NonIR_intron_only_occupancy_%	intron_only_peak_event_count_IR	intron_only_peak_event_count_NonIR	intron_only_odds_ratio	intron_only_fisher_p_value	Source_File	metric	IR_occupancy_rate_corrected	NonIR_occupancy_rate_corrected	occupancy_ratio_corrected	log2_IR_vs_nonIR_occupancy_ratio	delta_occupancy_%	raw_occupancy_ratio	minus_log10_fisher_p
positive_only	TF	TF ChIP-seq	HepG2	REST	REST	ENCSR000BOT	ENCFF669XCW	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/REST/REST_HepG2_ENCSR000BOT_ENCFF669XCW_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	31	427	6.175298804780876	4.961078192169165	35	553	1.260858107469781	0.2464067409139971	13	52	2.589641434262948	0.6041594051353549	15	54	4.373721881390593	4.33193297175468e-05	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.06262425447316103	0.04966310408921933	1.2609814795437897	0.3345470864777531	1.2142206126117117	1.2447493398770257	0.6083474154130204
positive_only	TF	TF ChIP-seq	HepG2	SP1	SP1	ENCSR460YAM	ENCFF333SWC	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/SP1/SP1_HepG2_ENCSR460YAM_ENCFF333SWC_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	33	433	6.573705179282868	5.030788892761706	39	602	1.328274496865721	0.1432429295863454	14	65	2.788844621513944	0.7551992564191936	17	76	3.7701134930643128	9.010266261036604e-05	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.06660039761431412	0.05036013011152416	1.322482635903151	0.40324877998703457	1.5429162865211623	1.306694699262994	0.8439268054332882
positive_only	TF	TF ChIP-seq	HepG2	SP4	SP4	ENCSR642PQK	ENCFF938KVY	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/SP4/SP4_HepG2_ENCSR642PQK_ENCFF938KVY_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	59	533	11.752988047808763	6.192633902637388	81	928	2.0174827099894546	6.291947332327387e-06	20	138	3.98406374501992	1.603346113628442	29	167	2.546454988273498	0.0005299294981085	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.11829025844930417	0.061977230483271376	1.908608331268248	0.9325210752346156	5.560354145171376	1.897898088695873	5.201214921359514
positive_only	TF	TF ChIP-seq	HepG2	ZNF180	ZNF180	ENCSR298DSB	ENCFF405YXO	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/ZNF180/ZNF180_HepG2_ENCSR298DSB_ENCFF405YXO_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	10	75	1.99203187250996	0.871383757406762	12	86	2.31219512195122	0.0259005963170492	4	14	0.796812749003984	0.1626583013825955	5	15	4.930005737234653	0.0150356480863549	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.020874751491053677	0.008770910780669145	2.379998156754835	1.2509604562047782	1.120648115103198	2.2860557768924297	1.5866902369140123
positive_only	TF	TF ChIP-seq	HepG2	ZNF30	ZNF30	ENCSR891KNP	ENCFF290UUF	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/ZNF30/ZNF30_HepG2_ENCSR891KNP_ENCFF290UUF_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	16	141	3.187250996015936	1.6382014639247124	22	209	1.9767095700901849	0.0194151063838406	9	23	1.7928286852589643	0.267224352271407	12	27	6.813299232736573	3.914044969886972e-05	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.032803180914512925	0.016438197026022304	1.9955461576828784	0.9967836492776684	1.5490495320912236	1.9455793845893024	1.711860225422422
positive_only	TF	TF ChIP-seq	HepG2	ZNF441	ZNF441	ENCSR673GDQ	ENCFF924VAH	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/ZNF441/ZNF441_HepG2_ENCSR673GDQ_ENCFF924VAH_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	36	476	7.171314741035857	5.530382247008249	59	725	1.3196342914848342	0.1337257411910776	14	82	2.788844621513944	0.9527129080980598	20	92	2.9825569772091165	0.0007329450961554	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.07256461232604373	0.05535548327137547	1.310883909554217	0.39053992772117224	1.6409324940276084	1.296712310422177	0.873784986296636
positive_only	TF	TF ChIP-seq	HepG2	ZNF564	ZNF564	ENCSR397EOT	ENCFF310IWF	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/ZNF564/ZNF564_HepG2_ENCSR397EOT_ENCFF310IWF_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	33	389	6.573705179282868	4.519577088416405	49	641	1.4864750796147796	0.0377722962253946	16	77	3.187250996015936	0.8946206576042756	21	97	3.647052535941425	4.1950263952877896e-05	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.06660039761431412	0.04524860594795539	1.47187733674972	0.5576574451472004	2.054128090866463	1.4544956421102224	1.4228266130621814
positive_only	TF	TF ChIP-seq	HepG2	ZNF704	ZNF704	ENCSR523RGJ	ENCFF155NXO	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/ZNF704/ZNF704_HepG2_ENCSR523RGJ_ENCFF155NXO_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	29	278	5.776892430278884	3.229929127454398	43	393	1.8368975010266628	0.0046338839546693	15	61	2.98804780876494	0.7087254560241664	21	77	4.3151445787188205	1.3370476482314609e-05	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.05864811133200795	0.032353624535315983	1.8127215165024217	0.8581573047729065	2.546963302824486	1.78855083264066	2.334054846350493
positive_only	TF	TF ChIP-seq	K562	E2F8	E2F8	ENCSR953DVM	ENCFF171WWF	/rhome/yzhan677/bigdata/ChIP-seq_K562/E2F8/E2F8_K562_ENCSR953DVM_ENCFF171WWF_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	170	231	6.427221172022684	4.026494683632561	214	343	1.6371857099129827	3.382856084687062e-06	51	36	1.9281663516068053	0.6275056649816977	63	38	3.113499100488306	1.7662445415930814e-07	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.06443688586545729	0.04034506796793308	1.5971440652094768	0.6754944522539235	2.4007264883901236	1.5962323750603522	5.470716477812298
positive_only	TF	TF ChIP-seq	K562	KLF13	KLF13	ENCSR608HVP	ENCFF381GEK	/rhome/yzhan677/bigdata/ChIP-seq_K562/KLF13/KLF13_K562_ENCSR608HVP_ENCFF381GEK_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	131	230	4.952741020793951	4.009063970716403	170	318	1.247651412957006	0.0491960122052852	51	31	1.9281663516068053	0.5403521004009063	61	31	3.6188474643718753	1.2006366792863808e-08	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.049697656840513985	0.04017079121645172	1.2371590236480228	0.30703095535295205	0.9436770500775484	1.2353858798389086	1.308070099416178
